HASH CODE: Harp Knife Bow Claw Axe 
CAREER DAY SPOILER LOG
-----STARTING JOB, WEAPON, MAGIC-----
Starting job:     Trainer Job Crystal
T4 Moat Item Epee                                 T3 Bard Job Crystal (Crystal)                     
T4 Shop Backdoor Lamia Harp                       T3 Bio (Black)                                    
T6 Top of the Falls Magic Lamp                    T2 Berserk (Ability)                              
T2 Wind Shrine Chest Broadsword                   T6 Holy (White)                                   
T2 Beginner's House Chest Ether                   T5 Crbnkl (Esper)                                 
T2 Beginner's House Chest 100                     T5 MgcSwrd Lv.5 (Ability)                         
T2 Beginner's House Chest Potion                  T3 Drain Sword                                    
T2 Beginner's House Chest Phoenix Down            T1 Equip Harps (Ability)                          
T2 Beginner's House Chest Tent                    T8 Masamune                                       
T2 Beginner's House Chest MIB 1 Leather Shoes     T2 Charm (White)                                  
T2 Pirate's Cave Chest Leather Cap                T6 Giant's Axe                                    
T2 Pirate's Cave Chest Tent                       T2 Mute (Sword)                                   
T2 Pirate's Cave Chest Ether                      T4 Dance (Ability)                                
T2 Pirate's Cave Chest 300                        T4 Avis Killer                                    
T2 Wind Shrine Chest Tent                         T1 Scan (White)                                   
T2 Wind Shrine Chest Leather Cap                  T7 Judgement Staff                                
T2 Wind Shrine Chest Staff                        T1 Steal (Ability)                                
T2 Tule Barrel 150                                T4 Sing (Ability)                                 
T2 Tule Box Leather Shoes                         T5 MysticKnight Job Crystal (Crystal)             
T2 Tule Barrel Potion                             T4 Ice3 (Sword)                                   
T2 Tule Box Tent                                  T1 Void (Time)                                    
T2 Tule Bush Phoenix Down                         T6 BlueMage Job Crystal (Crystal)                 
T2 Ship Graveyard Chest Flail                     T1 CopperPlt                                      
T2 Ship Graveyard Chest Phoenix Down              T4 L3 Flare (Blue)                                
T2 Ship Graveyard Chest Tent                      T7 Flare (Sword)                                  
T2 Ship Graveyard Box 990                         T4 Time Lv.4 (Ability)                            
T2 Ship Graveyard Chest Potion                    T5 Blowfish (Blue)                                
T2 Ship Graveyard Chest Antidote                  T9 Samurai Job Crystal (Crystal)                  
T2 Ship Graveyard Chest Antidote                  T6 White Robe                                     
T2 Ship Graveyard Chest Phoenix Down              T4 Bolt3 (Black)                                  
T2 Carwen Barrel Antidote                         T3 Morning Star                                   
T2 Carwen Box Ice Rod                             T3 DethClaw (Blue)                                
T2 Carwen Pot 1000                                T8 MgcSwrd Lv.6 (Ability)                         
T2 North Mountain Chest Soft                      T1 Red Lv.1 (Ability)                             
T2 North Mountain Chest Phoenix Down              T4 Hypno Helm                                     
T2 Walse Town Pot Glasses                         T4 Slash (Ability)                                
T2 Tycoon Castle Pot Hi-Potion                    T4 Ninja Job Crystal (Crystal)                    
T2 Tycoon Castle Pot Ether                        T2 Agility (Ability)                              
T2 Tycoon Castle Barrel Elixir                    T1 TinySong (Blue)                                
T2 Tycoon Castle Barrel Phoenix Down              T2 Drain (Black)                                  
T2 Tycoon Castle Barrel Cabin                     T2 Spear                                          
T2 Tycoon Castle Pot Ether                        T2 Elven Bow                                      
T2 Tycoon Castle Pot Elixir                       T4 Xzone (Time)                                   
T2 Tycoon Castle Pot Phoenix Down                 T1 Silver Harp                                    
T2 Tycoon Castle Pot Maiden's Kiss                T1 Float (Time)                                   
T2 Tycoon Castle Chest Shuriken                   T1 Armor (White)                                  
T2 Tycoon Castle Chest Giyaman                    T3 Drink (Ability)                                
T2 Tycoon Castle Chest Katana                     T1 Thunder Scroll                                 
T2 Walse Castle Chest Elf Cape                    T5 Murasume                                       
T2 Walse Castle Pot 1000                          T5 White Lv.5 (Ability)                           
T2 Walse Castle Pot Drag                          T1 FrogSong (Blue)                                
T2 Walse Castle Pot 1000                          T2 Ifrit (Esper)                                  
T2 Walse Castle Box 490                           T9 Mimic Job Crystal (Crystal)                    
T2 Walse Castle Barrel Tent                       T2 Jump (Ability)                                 
T2 Walse Castle Barrel Phoenix Down               T1 Bronze Shield                                  
T3 Walse Tower Chest Silk robe                    T2 Mythril Hammer                                 
T3 Walse Tower Chest Maiden's Kiss                T2 Ogre Killer                                    
T3 Walse Tower Chest Silver Armlet                T9 Freelancer Job Crystal (Crystal)               
T3 Walse Tower Chest Ether                        T4 Golden Armor                                   
T2 Tycoon Meteor Chest Phoenix Down               T7 X-Fight (Ability)                              
T4 Karnak Castle Chest MIB 1 Heavy Spear          T1 Sylph (Esper)                                  
T4 Karnak Castle Chest MIB 2 Thunder Scroll       T1 Power Drink                                    
T4 Karnak Castle Chest 2000                       T4 Break (Black)                                  
T4 Karnak Castle Chest MIB 3 Elixir               T4 Full Moon                                      
T4 Karnak Castle Chest Elixir                     T1 Flirt (Ability)                                
T4 Karnak Castle Chest Elixir                     T1 MP +30% (Ability)                              
T4 Karnak Castle Chest 2000                       T2 Barrier (Ability)                              
T4 Karnak Castle Chest Elixir                     T3 Summon Lv.2 (Ability)                          
T4 Karnak Castle Chest Elixir                     T5 Golem (Esper)                                  
T4 Karnak Castle Chest Ribbon                     T2 Cover (Ability)                                
T4 Karnak Castle Chest Shuriken                   T1 Ice (Black)                                    
T4 Karnak Castle Chest 2000                       T8 Ragnarok                                       
T4 Karnak Castle Chest Elixir                     T2 AquaRake (Blue)                                
T4 Karnak Castle Chest Elf Cape                   T8 Summon Lv.5 (Ability)                          
T4 Karnak Castle Chest Guardian                   T1 Cure (White)                                   
T4 Karnak Town Barrel Fire Rod                    T1 Bolt (Black)                                   
T2 Steamship Chest Cabin                          T2 Brawl (Ability)                                
T2 Steamship Chest Phoenix Down                   T2 Hunter Job Crystal (Crystal)                   
T2 Steamship Chest Elixir                         T1 Elixir                                         
T2 Steamship Chest GrnBeret                       T1 Black Lv.1 (Ability)                           
T2 Steamship Chest Thief's Glove                  T1 Leather Shoes                                  
T2 Steamship Chest Elixir                         T1 Elixir                                         
T2 Ancient Library Chest Ether                    T2 Medicine (Ability)                             
T2 Ancient Library Chest Phoenix Down             T8 Genji Helm                                     
T3 Ancient Library Chest Stealth Suit             T2 Thunder Bow                                    
T2 Jacole Cave Chest Shuriken                     T2 Iron Helm                                      
T2 Jacole Cave Chest Tent                         T1 Broadsword                                     
T2 Ruined City Chest Shuriken                     T3 Shuriken                                       
T2 Ruined City Chest Shuriken                     T1 Time Lv.1 (Ability)                            
T2 Ruined City Chest Size                         T2 Image (White)                                  
T3 Flying Lonka Ruins Chest Golden Armor          T1 SwdSlap (Ability)                              
T3 Flying Lonka Ruins Chest Elixir                T6 DarkMatter                                     
T3 Flying Lonka Ruins Chest Phoenix Down          T2 Counter (Ability)                              
T3 Flying Lonka Ruins Chest Golden Shield         T3 Knight Job Crystal (Crystal)                   
T2 Steamship Chest Mythril Glove                  T3 Equip Ribbon (Ability)                         
T2 Steamship Chest Elixir                         T1 Leather Armor                                  
T2 Steamship Chest Full Moon                      T1 Mute (White)                                   
T3 Flying Lonka Ruins Chest Hi-Potion             T2 White Lv.2 (Ability)                           
T3 Flying Lonka Ruins Chest 5000                  T3 Mug (Ability)                                  
T3 Flying Lonka Ruins Chest Shuriken              T1 Ice (Sword)                                    
T3 Flying Lonka Ruins Chest Ancient Sword         T3 Comet (Time)                                   
T3 Flying Lonka Ruins Chest Full Moon             T2 Emission (Blue)                                
T3 Flying Lonka Ruins Chest Power Wrist           T1 Monk Job Crystal (Crystal)                     
T3 Flying Lonka Ruins Chest Ether                 T4 Shoat (Esper)                                  
T3 Flying Lonka Ruins Chest Cabin                 T1 Maiden's Kiss                                  
T5 Exdeath's Castle Chest Ether                   T1 Ether                                          
T5 Exdeath's Castle Chest Diamond Shield          T6 Elf Cape                                       
T5 Exdeath's Castle Chest Ice Shield              T3 Equip Bows (Ability)                           
T5 Exdeath's Castle Chest Ether                   T8 Mix (Ability)                                  
T5 Exdeath's Castle Chest Elixir                  T1 Elixir                                         
T5 Exdeath's Castle Chest Gale Bow                T6 Crystal Armor                                  
T5 Exdeath's Castle Chest IceBrand                T1 HiPotion                                       
T5 Exdeath's Castle Chest Kotetsu                 T8 Brave Blade                                    
T5 Exdeath's Castle Chest 9900                    T3 Bersk (White)                                  
T5 Exdeath's Castle Chest Elixir                  T1 Regen (Time)                                   
T5 Exdeath's Castle Chest 8000                    T1 Reset (Time)                                   
T5 Exdeath's Castle Chest DblLance                T5 WhiteWind (Blue)                               
T5 Exdeath's Castle Chest Partisan                T4 Equip Katana (Ability)                         
T5 Exdeath's Castle Chest Pinwheel                T1 White Lv.1 (Ability)                           
T4 Moogle Cave Chest 4400                         T1 Power (Song)                                   
T4 Moogle Cave Chest Phoenix Down                 T2 Aero 2 (Blue)                                  
T6 Moogle Village Chest Cabin                     T4 Ice3 (Black)                                   
T6 Moogle Village Chest Dancing Dagger            T1 Aim (Ability)                                  
T6 Moogle Village Chest 1                         T1 Escape (Ability)                               
T7 Moogle Village Chest 10000                     T4 Dbl Grip (Ability)                             
T7 Moogle Village Chest Phoenix Down              T4 Image (Ability)                                
T7 Moogle Village Chest Ether                     T3 Equip Axes (Ability)                           
T8 Moogle Village Chest Elf Cape                  T1 Hammer (Blue)                                  
T4 Bal Castle Chest Angel Gwn                     T2 Ice2 (Sword)                                   
T4 Bal Castle Chest Hero Drink                    T2 Power Wrist                                    
T4 Bal Castle Chest Exit                          T2 Dragoon Job Crystal (Crystal)                  
T4 Hiryuu Valley Skull Bone Mail                  T1 Vampire (Blue)                                 
T4 Hiryuu Valley Chest 5000                       T2 Bolt2 (Black)                                  
T4 Hiryuu Valley Chest Cabin                      T5 2-Wield (Ability)                              
T4 Hiryuu Valley Chest 7000                       T4 Venom Axe                                      
T4 Hiryuu Valley Chest Hypno Helm                 T3 Slow2 (Time)                                   
T4 Hiryuu Valley Chest Air Blade                  T7 Levia (Esper)                                  
T4 Hiryuu Valley Chest Phoenix Down               T6 Summon Lv.4 (Ability)                          
T4 Surgate Castle Chest 5000                      T6 White Lv.6 (Ability)                           
T4 Surgate Castle Chest Float                     T4 White Lv.4 (Ability)                           
T5 Barrier Tower Chest MIB 1 Drain Sword          T4 Fire3 (Black)                                  
T4 Barrier Tower Chest 9000                       T5 DblLance                                       
T4 Barrier Tower Chest 18000                      T5 Diamond Armor                                  
T5 Barrier Tower Chest MIB 2 Gold Hairpin         T4 Control (Ability)                              
T4 Mua Town Barrel Guardian                       T2 Red Lv.2 (Ability)                             
T5 Mua Forest Chest 2500                          T1 GblinPnch (Blue)                               
T5 Mua Forest Chest Ether                         T4 RuneEdge                                       
T5 Mua Forest Chest 4900                          T1 Charm (Song)                                   
T5 Mua Forest Chest Phoenix Down                  T3 Lamia's Harp                                   
T5 Mua Forest Chest 9500                          T1 Size (White)                                   
T5 Mua Forest Chest Soot                          T3 Epee Sword                                     
T5 Mua Forest Chest Flametongue                   T5 Hero (Song)                                    
T5 Mua Forest Chest Cabin                         T3 Speed (Song)                                   
T5 Mua Forest Chest Giant Drink                   T1 Katana                                         
T5 Mua Forest Chest Elixir                        T1 Trainer Job Crystal (Crystal)                  
T5 Mua Forest Chest Morning Star                  T2 MgcSwrd Lv.2 (Ability)                         
T6 Solitary Island Chest Ether                    T1 Ether                                          
T6 Solitary Island Chest DragonFang               T3 AntiMagic Bow                                  
T6 Pyramid Chest Elixir                           T1 Elixir                                         
T6 Pyramid Chest Elixir                           T1 Elixir                                         
T7 Pyramid Chest MIB 1 Black Robe                 T6 ManEater                                       
T6 Pyramid Chest Thornlet                         T2 Shiva (Esper)                                  
T7 Pyramid Chest MIB 2 DarkMatter                 T3 Shell (White)                                  
T7 Pyramid Chest MIB 3 Crystal Armor              T2 Missile (Blue)                                 
T8 Pyramid Chest Cursed Ring                      T3 Wall (White)                                   
T8 Pyramid Chest Ice Shield                       T4 WhiteMage Job Crystal (Crystal)                
T6 Pyramid Chest Flame Shield                     T1 Berserker Job Crystal (Crystal)                
T6 Pyramid Chest DarkMatter                       T6 DarkMatter                                     
T6 Pyramid Chest White Robe                       T3 Conjure (Ability)                              
T6 Pyramid Chest DarkSuit                         T4 Break (Sword)                                  
T6 Pyramid Chest DarkMatter                       T6 DarkMatter                                     
T6 Pyramid Chest DarkMatter                       T6 DarkMatter                                     
T6 Pyramid Chest DarkMatter                       T6 DarkMatter                                     
T7 Pyramid Chest 9000                             T7 Flame Ring                                     
T7 Pyramid Chest 8000                             T3 Trident                                        
T7 Pyramid Chest Earth Hammer                     T1 Hero Drink                                     
T7 Pyramid Chest 10000                            T5 BlackMage Job Crystal (Crystal)                
T7 Pyramid Chest Cabin                            T7 Assassin                                       
T7 Pyramid Chest Elixir                           T1 Elixir                                         
T5 Pyramid Chest 12000                            T1 Mantra (Ability)                               
T5 Pyramid Chest DarkMatter                       T6 DarkMatter                                     
T5 Pyramid Chest Elixir                           T5 Mimic (Ability)                                
T5 Pyramid Chest DarkMatter                       T8 Black Lv.6 (Ability)                           
T5 Pyramid Chest Guard Ring                       T4 TimeMage Job Crystal (Crystal)                 
T5 Pyramid Chest Ribbon                           T2 Ice2 (Black)                                   
T5 Pyramid Chest Gold Hairpin                     T3 Kaiser Knuckles                                
T6 Solitary Island Chest 12000                    T2 Fusion (Blue)                                  
T6 Solitary Island Chest Hi-Potion                T2 DrgnSwd (Ability)                              
T6 Solitary Island Chest Protect Drink            T6 Summoner Job Crystal (Crystal)                 
T7 Solitary Island Chest BeastKiller              T2 Mythril Spear                                  
T8 Solitary Island Chest MIB 1 RisingSun          T3 Golden Shield                                  
T6 Solitary Island Chest Ether                    T1 Time Slip (Blue)                               
T8 Solitary Island Chest MIB 2 Guard Ring         T2 Ramuh                                          
T6 Solitary Island Chest Crystal Helm             T1 Vitality (Song)                                
T6 Solitary Island Chest 9000                     T2 BuildUp (Ability)                              
T6 Solitary Island Chest Elixir                   T2 Earth Bell                                     
T6 Solitary Island Chest DarkMatter               T1 Cursed Shield                                  
T6 Solitary Island Chest Circlet                  T5 Aero 3 (Blue)                                  
T8 Fork Tower L. Chest Ether                      T4 Guardian                                       
T8 Fork Tower L. Chest Wonder Wand                T2 Flail                                          
T8 Fork Tower R. Chest Hi-Potion                  T7 Magic Lamp                                     
T8 Fork Tower R. Chest Defender Sword             T7 Syldra (Esper)                                 
T6 Great Trench Chest Water Scroll                T3 Love (Song)                                    
T7 Great Trench Chest Flame Ring                  T3 Chain Whip                                     
T6 Great Trench Chest DragonFang                  T1 Fire (Black)                                   
T6 Great Trench Chest Ether                       T7 Quick (Time)                                   
T7 Great Trench Chest Phoenix Down                T4 Catch (Ability)                                
T7 Great Trench Chest Kaiser Knuckles             T2 Time Lv.2 (Ability)                            
T6 Istory Falls Chest Ether                       T1 Toad (Black)                                   
T6 Istory Falls Chest TurtleShell                 T2 Sleep (Sword)                                  
T6 Istory Falls Chest Air Knife                   T2 Fire2 (Sword)                                  
T6 Istory Falls Chest Giant Drink                 T2 Terrain (Ability)                              
T7 Istory Falls Chest RuneEdge                    T3 IceBrand                                       
T7 Istory Falls Chest Guard Ring                  T4 Life2 (White)                                  
T7 Istory Falls Chest Wall Ring                   T4 MgcSwrd Lv.4 (Ability)                         
T7 Istory Falls Chest Phoenix Down                T3 Heal (White)                                   
T7 Istory Falls Chest Enhancer                    T1 Giant Drink                                    
T7 Istory Falls Chest 12000                       T2 DmgFloor (Ability)                             
T7 Istory Falls Chest Artemis Bow                 T3 Excailbur                                      
T7 Istory Falls Chest Pinwheel                    T1 Thief Job Crystal (Crystal)                    
T7 Istory Falls Chest Aegis Shield                T5 Red Shoes                                      
T6 Istory Falls Chest Giant's Axe                 T2 RedMage Job Crystal (Crystal)                  
T1 Phoenix Tower Pot 5000                         T1 Observe (Ability)                              
T1 Phoenix Tower Pot Phoenix Down                 T1 Phoenix Down                                   
T1 Phoenix Tower Pot 10000                        T2 Fire2 (Black)                                  
T1 Phoenix Tower Pot Phoenix Down                 T1 Phoenix Down                                   
T1 Phoenix Tower Pot Phoenix Down                 T1 Phoenix Down                                   
T1 Phoenix Tower Pot 15000                        T6 Crystal Shield                                 
T1 Phoenix Tower Pot 20000                        T4 Cure3 (White)                                  
T1 Phoenix Tower Pot Phoenix Down                 T1 Roulette (Blue)                                
T1 Phoenix Tower Pot Avis Killer                  T4 Summon Lv.3 (Ability)                          
T1 Phoenix Tower Pot 25000                        T9 GilToss (Ability)                              
T7 Mirage Village Barrel Thief Knife              T1 Sleep (Black)                                  
T6 Rift (Ruins) Chest Ether                       T2 Magic (Song)                                   
T6 Rift (Ruins) Chest Cabin                       T5 Defender Sword                                 
T6 Rift (Ruins) Chest Elixir                      T1 Elixir                                         
T6 Rift (Ruins) Chest DarkMatter                  T3 Titan (Esper)                                  
T6 Rift (Ruins) Chest Elixir                      T1 Elixir                                         
T6 Rift (Ruins) Chest Drain Sword                 T2 Life (White)                                   
T7 Rift (Forest) Chest DragonFang                 T4 Fire3 (Sword)                                  
T7 Rift (Forest) Chest Ribbon                     T1 Aero (Blue)                                    
T7 Rift (Forest) Chest Enhancer                   T1 Slow (Time)                                    
T7 Rift (Forest) Chest Lillith Rod                T4 Black Lv.4 (Ability)                           
T8 Rift (Cave) Chest Angel Ring                   T2 Equip Shield (Ability)                         
T7 Rift (Cave) Chest Coral Ring                   T1 Evade (Ability)                                
T7 Rift (Castle) Chest Thor Hammer                T3 Red Lv.3 (Ability)                             
T7 Rift (Castle) Chest Running Shoes              T3 Wonder Wand                                    
T8 Rift (Castle) Chest Red Shoes                  T6 Time Lv.5 (Ability)                            
T8 Rift (Castle) Chest Rainbow Dress              T3 Psych (Sword)                                  
T8 Rift (Castle) Chest ManEater                   T5 Throw (Ability)                                
T6 The Void Chest Pinwheel                        T5 Pinwheel                                       
T6 The Void Chest Pinwheel                        T5 Pinwheel                                       
T6 The Void Chest Elixir                          T1 Flash (Blue)                                   
T6 The Void Chest Ragnarok                        T6 Black Robe                                     
T8 The Void Chest Pinwheel                        T7 Aegis Shield                                   
T5 Byblos New                                     T1 Venom (Black)                                  
T4 WingRaptor New                                 T8 Bone Mail                                      
T4 Siren New                                      T2 Equip Armors (Ability)                         
T4 Magisa & Forza New                             T1 Analyze (Ability)                              
T4 AdamanTiMi New                                 T6 Phenix (Esper)                                 
T5 ArchaeAvis New                                 T6 L5 Doom (Blue)                                 
T4 Chim.Brain New                                 T3 Power Staff                                    
T4 Puroboros New                                  T4 Heavy Spear                                    
T4 Shiva New                                      T6 Blue (Ability)                                 
T6 Atmos New                                      T6 Doom (Black)                                   
T6 Carbunkle New                                  T4 L4 Qrter (Blue)                                
T6 Gilgamesh 4 New                                T1 Remora (Esper)                                 
T6 Antlion New                                    T1 Tame (Ability)                                 
T6 Odin New                                       T4 Condemn (Blue)                                 
T7 Minotauros New                                 T6 L2 Old (Blue)                                  
T7 Stalker New                                    T1 Pray (Ability)                                 
T7 Bahamut New                                    T3 Drain (Sword)                                  
-----****************-----



-----SHOPS-----
Shop: Tule Weapon (Tier 1)
Shop Type: Item
Shop Item 1: Broadsword        ->  T5 Ribbon                     
Shop Item 2: Rod               ->  T2 Bandana                    
Shop Item 3: Staff             ->  T1 Glasses                    
Shop Item 4: None              ->  T1 HiPotion                   
Shop Item 5: None              ->  T1 Elixir                     
Shop Item 6: None              ->  T1 Maiden's Kiss              
Shop Item 7: None              ->  T1 Antidote                   
Shop Item 8: None              ->  T1 Eyedrop                    

Shop: Tule Armor (Tier 1)
Shop Type: Magic
Shop Item 1: Leather Shield    ->  T1 Bolt (Sword)               
Shop Item 2: Leather Cap       ->  T3 Bio (Sword)                
Shop Item 3: Leather Armor     ->     None                       
Shop Item 4: None              ->     None                       
Shop Item 5: None              ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Tule Inn (Tier 1)
Shop Type: Ability/Crystal
Shop Item 1: Potion            ->  T1 Kick (Ability)             
Shop Item 2: Tent              ->  T4 Equip Katana (Ability)     
Shop Item 3: None              ->     None                       
Shop Item 4: None              ->     None                       
Shop Item 5: None              ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Tule Magic (Tier 1)
Shop Type: Ability/Crystal
Shop Item 1: War Hammer        ->  T1 Flirt (Ability)            
Shop Item 2: Venom Axe         ->  T2 White Lv.2 (Ability)       
Shop Item 3: Earth Hammer      ->  T6 Black Lv.5 (Ability)       
Shop Item 4: Epee Sword        ->  T5 2-Wield (Ability)          
Shop Item 5: Slumber Sword     ->     None                       
Shop Item 6: Defender Sword    ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Carwen Weapon (Tier 1)
Shop Type: Item
Shop Item 1: Dagger            ->  T1 Broadsword                 
Shop Item 2: RegalCut          ->  T4 Thornlet                   
Shop Item 3: Rod               ->  T1 Phoenix Down               
Shop Item 4: Staff             ->  T1 Antidote                   
Shop Item 5: None              ->  T1 Eyedrop                    
Shop Item 6: None              ->  T1 Soft                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Carwen Armor (Tier 1)
Shop Type: Item
Shop Item 1: Bronze Shield     ->  T6 Holy Lance                 
Shop Item 2: Bronze Helm       ->  T8 Tempest                    
Shop Item 3: Bronze Armor      ->  T5 Staff of Light             
Shop Item 4: CopperPlt         ->  T2 Angel Gwn                  
Shop Item 5: Cotton Robe       ->  T1 Maiden's Kiss              
Shop Item 6: None              ->  T1 Revivify                   
Shop Item 7: None              ->  T1 Flame Scroll               
Shop Item 8: None              ->  T1 Thunder Scroll             

